base_url,city,citycountry,cloudiness,country,humidity,lat,lng,temp,wind speed
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ajdabiya,ly&APPID=658432372d775e19d42e7c70280b22af",ajdabiya,ajdabiyaly,0,ly,15,31,19,38.14,2.31
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=mar del plata,ar&APPID=658432372d775e19d42e7c70280b22af",mar del plata,mar del plataar,0,ar,85,-61,-32,2.34,3.36
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ribeira grande,pt&APPID=658432372d775e19d42e7c70280b22af",ribeira grande,ribeira grandept,40,pt,72,30,-38,19.0,6.2
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kazachinskoye,ru&APPID=658432372d775e19d42e7c70280b22af",kazachinskoye,kazachinskoyeru,0,ru,57,58,94,14.94,3.21
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=albany,au&APPID=658432372d775e19d42e7c70280b22af",albany,albanyau,44,au,53,-62,103,12.14,4.56
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=atuona,pf&APPID=658432372d775e19d42e7c70280b22af",atuona,atuonapf,0,pf,100,-2,-144,26.39,8.06
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=fecamp,fr&APPID=658432372d775e19d42e7c70280b22af",fecamp,fecampfr,0,fr,60,50,0,23.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ambanja,mg&APPID=658432372d775e19d42e7c70280b22af",ambanja,ambanjamg,0,mg,62,-13,48,24.89,1.76
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=hambantota,lk&APPID=658432372d775e19d42e7c70280b22af",hambantota,hambantotalk,32,lk,92,1,87,28.89,7.51
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=mahebourg,mu&APPID=658432372d775e19d42e7c70280b22af",mahebourg,mahebourgmu,40,mu,78,-32,68,23.0,1.5
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=san jose,gt&APPID=658432372d775e19d42e7c70280b22af",san jose,san josegt,8,gt,99,11,-92,27.29,1.86
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=mitu,co&APPID=658432372d775e19d42e7c70280b22af",mitu,mituco,8,co,89,1,-70,26.54,1.31
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=birnin kebbi,ng&APPID=658432372d775e19d42e7c70280b22af",birnin kebbi,birnin kebbing,0,ng,67,13,4,34.39,3.01
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=port elizabeth,za&APPID=658432372d775e19d42e7c70280b22af",port elizabeth,port elizabethza,0,za,62,-48,28,15.0,2.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ushuaia,ar&APPID=658432372d775e19d42e7c70280b22af",ushuaia,ushuaiaar,75,ar,65,-84,-46,6.0,12.9
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=elko,us&APPID=658432372d775e19d42e7c70280b22af",elko,elkous,75,us,59,40,-116,17.0,2.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=yelizovo,ru&APPID=658432372d775e19d42e7c70280b22af",yelizovo,yelizovoru,0,ru,81,53,158,6.0,2.0
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=boone,us&APPID=658432372d775e19d42e7c70280b22af",boone,booneus,90,us,100,42,-94,27.0,2.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=chokurdakh,ru&APPID=658432372d775e19d42e7c70280b22af",chokurdakh,chokurdakhru,76,ru,87,79,144,-3.11,1.51
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=labytnangi,ru&APPID=658432372d775e19d42e7c70280b22af",labytnangi,labytnangiru,64,ru,94,69,67,-0.61,6.56
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=khonsa,in&APPID=658432372d775e19d42e7c70280b22af",khonsa,khonsain,32,in,96,26,96,19.39,0.81
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=port hardy,ca&APPID=658432372d775e19d42e7c70280b22af",port hardy,port hardyca,75,ca,66,50,-128,10.0,1.0
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=anchorage,us&APPID=658432372d775e19d42e7c70280b22af",anchorage,anchorageus,90,us,70,64,-152,10.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=dolores,ar&APPID=658432372d775e19d42e7c70280b22af",dolores,doloresar,80,ar,99,-37,-56,13.84,5.36
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=saint-joseph,re&APPID=658432372d775e19d42e7c70280b22af",saint-joseph,saint-josephre,75,re,69,-26,56,23.0,2.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=qaanaaq,gl&APPID=658432372d775e19d42e7c70280b22af",qaanaaq,qaanaaqgl,76,gl,100,89,-81,-1.96,2.16
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=avarua,ck&APPID=658432372d775e19d42e7c70280b22af",avarua,avaruack,75,ck,88,-25,-160,26.0,8.2
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=norman wells,ca&APPID=658432372d775e19d42e7c70280b22af",norman wells,norman wellsca,20,ca,48,66,-127,7.0,5.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=amga,ru&APPID=658432372d775e19d42e7c70280b22af",amga,amgaru,64,ru,71,60,133,5.94,1.06
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=lagoa,pt&APPID=658432372d775e19d42e7c70280b22af",lagoa,lagoapt,40,pt,77,46,-26,19.0,6.2
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=punta arenas,cl&APPID=658432372d775e19d42e7c70280b22af",punta arenas,punta arenascl,75,cl,96,-72,-110,5.0,2.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=faanui,pf&APPID=658432372d775e19d42e7c70280b22af",faanui,faanuipf,0,pf,100,0,-158,27.34,7.26
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=hearst,ca&APPID=658432372d775e19d42e7c70280b22af",hearst,hearstca,12,ca,60,52,-85,24.29,2.51
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=alofi,nu&APPID=658432372d775e19d42e7c70280b22af",alofi,alofinu,88,nu,100,-25,-169,23.0,2.6
